d_model,d_state,lr,seed,ablate,params,best_val,test_at_best,steps_to_best,stopped_step,alpha_mean,alpha_std,alpha_frac0,alpha_frac1
64,16,0.001,0,0,12698,0.4155,0.4224,1000,1400,0.8967,0.0833,0.002,0.7446
64,16,0.001,1,0,12698,0.9624,0.9546,3800,4000,0.9117,0.0937,0.062,0.846
64,16,0.001,2,0,12698,0.4185,0.418,1400,1400,0.8583,0.0861,0.0029,0.6266
64,16,0.001,3,0,12698,0.4116,0.4087,400,1400,0.8381,0.0871,0.0026,0.5688
64,16,0.001,4,0,12698,0.4111,0.4141,1200,1400,0.9704,0.0719,0.0006,0.9236
64,16,0.003,0,0,12698,0.4116,0.4194,1000,1200,0.9254,0.0665,0.002,0.8083
64,16,0.003,1,0,12698,0.9766,0.9639,5400,5800,0.9483,0.0979,0.0052,0.7769
64,16,0.003,2,0,12698,0.4155,0.4102,1000,1400,0.8481,0.0861,0.0053,0.6304
64,16,0.003,3,0,12698,0.4155,0.416,400,1400,0.8278,0.0846,0.0059,0.567
64,16,0.003,4,0,12698,0.4111,0.418,1200,1200,0.9432,0.0722,0.0021,0.8717
64,16,0.01,0,0,12698,0.9834,0.9775,3600,4600,0.9551,0.1057,0.0072,0.8808
64,16,0.01,1,0,12698,0.8999,0.8896,1400,2400,0.9576,0.0896,0.0053,0.8979
64,16,0.01,2,0,12698,0.9775,0.9717,2400,3400,0.9429,0.1054,0.0106,0.8274
64,16,0.01,3,0,12698,0.981,0.9727,3000,4000,0.8406,0.1187,0.0664,0.7659
64,16,0.01,4,0,12698,0.4116,0.4165,600,1200,0.9304,0.0556,0.0035,0.8113
64,16,0.01,0,1,11674,0.1245,0.1313,1200,1400,0.7719,0.028,0.0,0.0019
64,16,0.01,1,1,11674,0.1465,0.1284,200,1200,0.8096,0.0355,0.0,0.0004
64,16,0.01,2,1,11674,0.1304,0.1177,600,1600,0.8176,0.0307,0.0,0.0014
64,16,0.01,3,1,11674,0.1465,0.1284,200,1200,0.7845,0.0262,0.0,0.0014
64,16,0.01,4,1,11674,0.1465,0.1284,1600,2600,0.801,0.0258,0.0,0.0004
