model,d_model,d_state,lr,seed,params,best_val,test_at_best,steps_to_best,stopped_step
rich,16,8,0.001,0,1138,0.3887,0.3921,4400,4600
rich,16,8,0.001,1,1138,0.3989,0.4038,5800,5800
rich,16,8,0.001,2,1138,0.3989,0.4067,5600,5600
rich,16,8,0.001,3,1138,0.3828,0.3862,4000,4000
rich,16,8,0.001,4,1138,0.2803,0.293,2400,2400
rich,16,8,0.003,0,1138,0.4038,0.4092,2200,2800
rich,16,8,0.003,1,1138,0.4019,0.4102,3000,3200
rich,16,8,0.003,2,1138,0.4834,0.4976,4600,5200
rich,16,8,0.003,3,1138,0.396,0.3882,2600,2600
rich,16,8,0.003,4,1138,0.3838,0.3892,3400,3600
rich,16,8,0.01,0,1138,0.5747,0.5586,3600,4600
rich,16,8,0.01,1,1138,0.5454,0.5601,3600,3800
rich,16,8,0.01,2,1138,0.5229,0.5249,4600,4600
rich,16,8,0.01,3,1138,0.5967,0.606,5000,5000
rich,16,8,0.01,4,1138,0.4556,0.4565,2200,3200
rich,16,16,0.001,0,1402,0.3965,0.397,4800,5200
rich,16,16,0.001,1,1402,0.3887,0.3955,4800,5000
rich,16,16,0.001,2,1402,0.5308,0.5186,8000,8000
rich,16,16,0.001,3,1402,0.4131,0.418,5800,5800
rich,16,16,0.001,4,1402,0.4033,0.4111,5200,6200
